playing ...
opening file 'bwv807a.mid'...
277.778 track1 76 1;
222.2224 track1 76 0;
55.5556 track1 69 1;
222.2224 track1 69 0;
55.5556 track1 81 1;
222.2224 track1 81 0;
55.5556 track1 79 1;
111.1112 track1 79 0;
27.7778 track1 76 1;
111.1112 track1 76 0;
27.7778 track1 77 1;
111.1112 track1 77 0;
27.7778 track1 74 1;
111.1112 track1 74 0;
27.7778 track1 76 1;
111.1112 track1 76 0;
27.7778 track1 74 1;
111.1112 track1 74 0;
27.7778 track1 72 1;
0.0 track2 64 1;
111.1112 track1 72 0;
27.7778 track1 71 1;
83.3334 track2 64 0;
27.7778 track1 71 0;
27.7778 track2 57 1;
0.0 track1 72 1;
111.1112 track1 72 0;
27.7778 track1 71 1;
83.3334 track2 57 0;
27.7778 track1 71 0;
27.7778 track2 69 1;
0.0 track1 72 1;
111.1112 track1 72 0;
27.7778 track1 77 1;
83.3334 track2 69 0;
27.7778 track1 77 0;
27.7778 track2 67 1;
0.0 track1 71 1;
111.1112 track2 67 0;
0.0 track1 71 0;
27.7778 track1 76 1;
0.0 track2 64 1;
111.1112 track2 64 0;
0.0 track1 76 0;
27.7778 track1 69 1;
0.0 track2 65 1;
111.1112 track2 65 0;
0.0 track1 69 0;
27.7778 track1 74 1;
0.0 track2 62 1;
111.1112 track1 74 0;
0.0 track2 62 0;
27.7778 track1 68 1;
0.0 track2 64 1;
111.1112 track1 68 0;
27.7778 track1 74 1;
111.1112 track1 74 0;
11.5740833333 track2 64 0;
16.2037166667 track1 71 1;
0.0 track2 52 1;
111.1112 track1 71 0;
27.7778 track1 68 1;
111.1112 track1 68 0;
11.5740833333 track2 52 0;
16.2037166667 track2 56 1;
0.0 track1 74 1;
111.1112 track1 74 0;
27.7778 track1 71 1;
111.1112 track1 71 0;
11.5740833333 track2 56 0;
16.2037166667 track1 68 1;
0.0 track2 59 1;
111.1112 track1 68 0;
27.7778 track1 71 1;
111.1112 track1 71 0;
11.5740833333 track2 59 0;
16.2037166667 track1 64 1;
0.0 track2 56 1;
111.1112 track1 64 0;
27.7778 track1 74 1;
111.1112 track1 74 0;
11.5740833333 track2 56 0;
16.2037166667 track1 72 1;
0.0 track2 52 1;
111.1112 track1 72 0;
27.7778 track1 71 1;
111.1112 track1 71 0;
11.5740833333 track2 52 0;
16.2037166667 track2 57 1;
0.0 track1 72 1;
111.1112 track1 72 0;
27.7778 track1 71 1;
83.3334 track2 57 0;
27.7778 track1 71 0;
27.7778 track2 52 1;
0.0 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 68 1;
83.3334 track2 52 0;
27.7778 track1 68 0;
27.7778 track2 45 1;
0.0 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 71 1;
83.3334 track2 45 0;
27.7778 track1 71 0;
27.7778 track2 57 1;
0.0 track1 72 1;
111.1112 track1 72 0;
27.7778 track1 65 1;
83.3334 track2 57 0;
27.7778 track1 65 0;
27.7778 track2 55 1;
0.0 track1 71 1;
111.1112 track1 71 0;
0.0 track2 55 0;
27.7778 track1 64 1;
0.0 track2 52 1;
111.1112 track1 64 0;
0.0 track2 52 0;
27.7778 track2 53 1;
0.0 track1 69 1;
111.1112 track1 69 0;
0.0 track2 53 0;
27.7778 track2 50 1;
0.0 track1 71 1;
111.1112 track1 71 0;
0.0 track2 50 0;
27.7778 track1 68 1;
0.0 track2 52 1;
111.1112 track2 52 0;
27.7778 track2 50 1;
83.3334 track1 68 0;
27.7778 track2 50 0;
27.7778 track1 64 1;
0.0 track2 47 1;
111.1112 track2 47 0;
27.7778 track2 44 1;
83.3334 track1 64 0;
27.7778 track2 44 0;
27.7778 track1 68 1;
0.0 track2 50 1;
111.1112 track2 50 0;
27.7778 track2 47 1;
83.3334 track1 68 0;
27.7778 track2 47 0;
27.7778 track2 44 1;
0.0 track1 71 1;
111.1112 track2 44 0;
27.7778 track2 47 1;
83.3334 track1 71 0;
27.7778 track2 47 0;
27.7778 track1 68 1;
0.0 track2 40 1;
111.1112 track2 40 0;
27.7778 track2 50 1;
83.3334 track1 68 0;
27.7778 track2 50 0;
27.7778 track1 64 1;
0.0 track2 48 1;
111.1112 track2 48 0;
27.7778 track2 47 1;
83.3334 track1 64 0;
27.7778 track2 47 0;
27.7778 track1 69 1;
0.0 track2 49 1;
111.1112 track1 69 0;
27.7778 track1 79 1;
83.3334 track2 49 0;
27.7778 track1 79 0;
27.7778 track1 76 1;
0.0 track2 45 1;
111.1112 track1 76 0;
27.7778 track1 73 1;
83.3334 track2 45 0;
27.7778 track1 73 0;
27.7778 track2 49 1;
0.0 track1 79 1;
111.1112 track1 79 0;
27.7778 track1 76 1;
83.3334 track2 49 0;
27.7778 track1 76 0;
27.7778 track1 73 1;
0.0 track2 52 1;
111.1112 track1 73 0;
27.7778 track1 76 1;
83.3334 track2 52 0;
27.7778 track1 76 0;
27.7778 track2 49 1;
0.0 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 67 1;
83.3334 track2 49 0;
27.7778 track1 67 0;
27.7778 track1 66 1;
0.0 track2 45 1;
111.1112 track1 66 0;
27.7778 track1 64 1;
83.3334 track2 45 0;
27.7778 track1 64 0;
27.7778 track1 66 1;
0.0 track2 50 1;
111.1112 track2 50 0;
27.7778 track2 60 1;
83.3334 track1 66 0;
27.7778 track2 60 0;
27.7778 track2 57 1;
0.0 track1 74 1;
111.1112 track2 57 0;
27.7778 track2 54 1;
83.3334 track1 74 0;
27.7778 track2 54 0;
27.7778 track1 78 1;
0.0 track2 60 1;
111.1112 track2 60 0;
27.7778 track2 57 1;
83.3334 track1 78 0;
27.7778 track2 57 0;
27.7778 track2 54 1;
0.0 track1 81 1;
111.1112 track2 54 0;
27.7778 track2 57 1;
83.3334 track1 81 0;
27.7778 track2 57 0;
27.7778 track1 78 1;
0.0 track2 50 1;
111.1112 track2 50 0;
27.7778 track2 60 1;
83.3334 track1 78 0;
27.7778 track2 60 0;
27.7778 track1 74 1;
0.0 track2 59 1;
111.1112 track2 59 0;
27.7778 track2 57 1;
83.3334 track1 74 0;
27.7778 track2 57 0;
27.7778 track1 79 1;
0.0 track2 59 1;
111.1112 track1 79 0;
27.7778 track1 77 1;
83.3334 track2 59 0;
27.7778 track1 77 0;
27.7778 track2 55 1;
0.0 track1 74 1;
111.1112 track1 74 0;
27.7778 track1 71 1;
83.3334 track2 55 0;
27.7778 track1 71 0;
27.7778 track1 77 1;
0.0 track2 59 1;
111.1112 track1 77 0;
27.7778 track1 74 1;
83.3334 track2 59 0;
27.7778 track1 74 0;
27.7778 track1 71 1;
0.0 track2 62 1;
111.1112 track1 71 0;
27.7778 track1 74 1;
83.3334 track2 62 0;
27.7778 track1 74 0;
27.7778 track2 59 1;
0.0 track1 67 1;
111.1112 track1 67 0;
27.7778 track1 77 1;
83.3334 track2 59 0;
27.7778 track1 77 0;
27.7778 track2 55 1;
0.0 track1 76 1;
111.1112 track1 76 0;
27.7778 track1 74 1;
83.3334 track2 55 0;
27.7778 track1 74 0;
27.7778 track1 76 1;
0.0 track2 60 1;
111.1112 track1 76 0;
27.7778 track1 74 1;
83.3334 track2 60 0;
27.7778 track1 74 0;
27.7778 track1 72 1;
0.0 track2 55 1;
111.1112 track1 72 0;
27.7778 track1 71 1;
83.3334 track2 55 0;
27.7778 track1 71 0;
27.7778 track2 48 1;
0.0 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 72 1;
83.3334 track2 48 0;
27.7778 track1 72 0;
27.7778 track1 74 1;
0.0 track2 60 1;
111.1112 track1 74 0;
27.7778 track1 78 1;
83.3334 track2 60 0;
27.7778 track1 78 0;
27.7778 track1 79 1;
0.0 track2 59 1;
111.1112 track1 79 0;
0.0 track2 59 0;
27.7778 track1 71 1;
0.0 track2 55 1;
111.1112 track1 71 0;
0.0 track2 55 0;
27.7778 track1 72 1;
0.0 track2 57 1;
111.1112 track2 57 0;
0.0 track1 72 0;
27.7778 track2 54 1;
0.0 track1 69 1;
111.1112 track1 69 0;
0.0 track2 54 0;
27.7778 track1 71 1;
0.0 track2 55 1;
111.1112 track1 71 0;
27.7778 track1 74 1;
83.3334 track2 55 0;
27.7778 track1 74 0;
27.7778 track1 76 1;
0.0 track2 53 1;
111.1112 track1 76 0;
27.7778 track1 77 1;
83.3334 track2 53 0;
27.7778 track1 77 0;
27.7778 track1 79 1;
0.0 track2 52 1;
111.1112 track1 79 0;
27.7778 track1 69 1;
83.3334 track2 52 0;
27.7778 track1 69 0;
27.7778 track2 50 1;
0.0 track1 70 1;
111.1112 track1 70 0;
27.7778 track1 67 1;
83.3334 track2 50 0;
27.7778 track1 67 0;
27.7778 track1 77 1;
0.0 track2 52 1;
111.1112 track1 77 0;
27.7778 track1 69 1;
83.3334 track2 52 0;
27.7778 track1 69 0;
27.7778 track2 48 1;
0.0 track1 70 1;
111.1112 track1 70 0;
27.7778 track1 67 1;
83.3334 track2 48 0;
27.7778 track1 67 0;
27.7778 track1 69 1;
0.0 track2 53 1;
111.1112 track1 69 0;
27.7778 track1 72 1;
83.3334 track2 53 0;
27.7778 track1 72 0;
27.7778 track1 74 1;
0.0 track2 52 1;
111.1112 track1 74 0;
27.7778 track1 76 1;
83.3334 track2 52 0;
27.7778 track1 76 0;
27.7778 track1 77 1;
0.0 track2 50 1;
111.1112 track1 77 0;
27.7778 track1 67 1;
83.3334 track2 50 0;
27.7778 track1 67 0;
27.7778 track2 48 1;
0.0 track1 69 1;
111.1112 track1 69 0;
27.7778 track1 65 1;
83.3334 track2 48 0;
27.7778 track1 65 0;
27.7778 track2 50 1;
0.0 track1 77 1;
111.1112 track1 77 0;
27.7778 track1 67 1;
83.3334 track2 50 0;
27.7778 track1 67 0;
27.7778 track1 69 1;
0.0 track2 47 1;
111.1112 track1 69 0;
27.7778 track1 65 1;
