playing ...
opening file 'c9.mid'...
294.118 track2 62 1;
294.118 track2 62 0;
0.0 track2 74 1;
880.919 track2 74 0;
0.0 track2 73 1;
146.3415 track2 73 0;
0.0 track2 71 1;
146.3415 track2 71 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 61 1;
146.3415 track2 61 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 66 1;
146.3415 track2 66 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 70 1;
234.1464 track2 70 0;
58.5366 track2 69 1;
292.683 track2 69 0;
146.3415 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 74 1;
146.3415 track2 74 0;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track1 69 1;
0.0 track2 65 1;
