playing ...
opening file 'op87_07b.mid'...
3.125 track1 69 1;
449.375 track1 69 0;
450.0 track1 64 1;
600.0 track1 64 0;
600.0 track1 69 1;
750.0 track1 69 0;
750.0 track1 73 1;
900.0 track1 73 0;
900.0 track1 76 1;
1050.0 track1 76 0;
1050.0 track1 81 1;
1200.0 track1 81 0;
1200.0 track1 76 1;
1650.0 track1 76 0;
1650.0 track1 73 1;
1800.0 track1 73 0;
1800.0 track1 76 1;
2100.0 track1 76 0;
2100.0 track1 73 1;
2250.0 track1 73 0;
2250.0 track1 81 1;
2400.0 track1 81 0;
2400.0 track1 76 1;
2700.0 track1 76 0;
2700.0 track1 73 1;
2850.0 track1 73 0;
2850.0 track1 64 1;
3000.0 track1 64 0;
3000.0 track1 69 1;
3300.0 track1 69 0;
3300.0 track1 73 1;
3450.0 track1 73 0;
3450.0 track1 81 1;
3600.0 track1 81 0;
3600.0 track1 76 1;
4050.0 track1 76 0;
4050.0 track1 73 1;
4200.0 track1 73 0;
4200.0 track1 69 1;
4350.0 track1 69 0;
4350.0 track1 73 1;
4500.0 track1 73 0;
4500.0 track1 76 1;
4650.0 track1 76 0;
4650.0 track1 81 1;
4800.0 track1 81 0;
0.0 track2 64 1;
4800.0 track1 80 1;
4950.0 track1 80 0;
4950.0 track1 83 1;
5100.0 track1 83 0;
5100.0 track1 88 1;
5250.0 track2 64 0;
5250.0 track2 59 1;
5400.0 track2 59 0;
5400.0 track2 64 1;
5550.0 track1 88 0;
0.0 track2 64 0;
5550.0 track1 83 1;
0.0 track2 68 1;
5700.0 track1 83 0;
0.0 track2 68 0;
5700.0 track1 80 1;
0.0 track2 71 1;
5850.0 track2 71 0;
5850.0 track2 76 1;
6000.0 track2 76 0;
6000.0 track2 71 1;
6150.0 track1 80 0;
6150.0 track1 88 1;
6300.0 track1 88 0;
6300.0 track1 83 1;
6450.0 track2 71 0;
6450.0 track2 68 1;
6600.0 track2 68 0;
6600.0 track2 71 1;
6750.0 track1 83 0;
6750.0 track1 88 1;
6900.0 track1 88 0;
0.0 track2 71 0;
6900.0 track1 83 1;
0.0 track2 68 1;
7050.0 track2 68 0;
7050.0 track2 76 1;
7200.0 track2 76 0;
7200.0 track2 71 1;
7350.0 track1 83 0;
7350.0 track1 80 1;
7500.0 track1 80 0;
0.0 track2 71 0;
7500.0 track1 76 1;
0.0 track2 68 1;
7650.0 track2 68 0;
7650.0 track2 59 1;
7800.0 track2 59 0;
7800.0 track2 64 1;
7950.0 track1 76 0;
7950.0 track1 88 1;
8100.0 track1 88 0;
0.0 track2 64 0;
8100.0 track1 83 1;
0.0 track2 68 1;
8250.0 track2 68 0;
8250.0 track2 76 1;
8400.0 track2 76 0;
8400.0 track2 71 1;
8550.0 track1 83 0;
8550.0 track1 80 1;
8700.0 track1 80 0;
8700.0 track1 76 1;
8850.0 track2 71 0;
8850.0 track2 68 1;
9000.0 track2 68 0;
9000.0 track2 64 1;
9150.0 track2 64 0;
